S.No,Department,Municipalities,,
1,Ahuachapán,Ahuachapán,,
2,Ahuachapán,Apaneca,,
3,Ahuachapán,Atiquizaya,,
4,Ahuachapán,Concepción de Ataco,,
5,Ahuachapán,El Refugio,,
6,Ahuachapán,Guaymango,,
7,Ahuachapán,Jujutla,,
8,Ahuachapán,San Francisco Menéndez,,
9,Ahuachapán,San Lorenzo,,
10,Ahuachapán,San Pedro Puxtla,,
11,Ahuachapán,Tacuba,,
12,Ahuachapán,Turín,,
13,Cabañas,Cinquera,,
14,Cabañas,Dolores,,
15,Cabañas,Guacotecti,,
16,Cabañas,Ilobasco,,
17,Cabañas,Jutiapa,,
18,Cabañas,San Isidro,,
19,Cabañas,Sensuntepeque,,
20,Cabañas,Tejutepeque,,
21,Cabañas,Victoria,,
22,Chalatenango,Agua Caliente,,
23,Chalatenango,Arcatao,,
24,Chalatenango,Azacualpa,,
25,Chalatenango,Chalatenango,,
26,Chalatenango,Citalá,,
27,Chalatenango,Comalapa,,
28,Chalatenango,Concepción Quezaltepeque,,
29,Chalatenango,Dulce Nombre de María,,
30,Chalatenango,El Carrizal,,
31,Chalatenango,El Paraíso,,
32,Chalatenango,La Laguna,,
33,Chalatenango,La Palma,,
34,Chalatenango,La Reina,,
35,Chalatenango,Las Vueltas,,
36,Chalatenango,Nombre de Jesús,,
37,Chalatenango,Nueva Concepción,,
38,Chalatenango,Nueva Trinidad,,
39,Chalatenango,Ojos de Agua,,
40,Chalatenango,Potonico,,
41,Chalatenango,San Antonio de la Cruz (San Antonio La Cruz),,
42,Chalatenango,San Antonio Los Ranchos (San Antonio Ranchos),,
43,Chalatenango,San Fernando,,
44,Chalatenango,San Francisco Lempa,,
45,Chalatenango,San Francisco Morazán,,
46,Chalatenango,San Ignacio,,
47,Chalatenango,San Isidro Labrador,,
48,Chalatenango,San José Cancasque,,
49,Chalatenango,San José Las Flores,,
50,Chalatenango,San Luis del Carmen,,
51,Chalatenango,San Miguel de Mercedes,,
52,Chalatenango,San Rafael,,
53,Chalatenango,Santa Rita,,
54,Chalatenango,Tejutla,,
55,Cuscatlán,Candelaria,,
56,Cuscatlán,Cojutepeque,,
57,Cuscatlán,El Carmen,,
58,Cuscatlán,El Rosario,,
59,Cuscatlán,Monte San Juan,,
60,Cuscatlán,Oratorio de Concepción,,
61,Cuscatlán,San Bartolomé Perulapía,,
62,Cuscatlán,San Cristóbal,,
63,Cuscatlán,San José Guayabal,,
64,Cuscatlán,San Pedro Perulapán,,
65,Cuscatlán,San Rafael Cedros,,
66,Cuscatlán,San Ramón,,
67,Cuscatlán,Santa Cruz Analquito,,
68,Cuscatlán,Santa Cruz Michapa,,
69,Cuscatlán,Suchitoto,,
70,Cuscatlán,Tenancingo,,
71,Cuscatlán,Zacatecas,,
72,La Libertad,Antiguo Cuscatlán,,
73,La Libertad,Chiltiupán,,
74,La Libertad,Ciudad Arce,,
75,La Libertad,Colón,,
76,La Libertad,Comasagua,,
77,La Libertad,Huizúcar,,
78,La Libertad,Jayaque,,
79,La Libertad,Jicalapa,,
80,La Libertad,La Libertad,,
81,La Libertad,Nuevo Cuscatlán,,
82,La Libertad,Opico,,
83,La Libertad,Quezaltepeque,,
84,La Libertad,Sacacoyo,,
85,La Libertad,San José Villanueva,,
86,La Libertad,San Matías,,
87,La Libertad,San Pablo Tacachico,,
88,La Libertad,Santa Tecla,,
89,La Libertad,Talnique,,
90,La Libertad,Tamanique,,
91,La Libertad,Teotepeque,,
92,La Libertad,Tepecoyo,,
93,La Libertad,Zaragoza,,
94,La Paz,Cuyultitán,,
95,La Paz,El Rosario,,
96,La Paz,Jerusalén,,
97,La Paz,Mercedes La Ceiba,,
98,La Paz,Olocuilta,,
99,La Paz,Paraíso de Osorio,,
100,La Paz,San Antonio Masahuat,,
101,La Paz,San Emigdio,,
102,La Paz,San Francisco Chinameca,,
103,La Paz,San Juan Nonualco,,
104,La Paz,San Juan Talpa,,
105,La Paz,San Juan Tepezontes,,
106,La Paz,San Luis La Herradura,,
107,La Paz,San Luis Talpa,,
108,La Paz,San Miguel Tepezontes,,
109,La Paz,San Pedro Masahuat,,
110,La Paz,San Pedro Nonualco,,
111,La Paz,San Rafael Obrajuelo,,
112,La Paz,Santa María Ostuma,,
113,La Paz,Santiago Nonualco,,
114,La Paz,Tapalhuaca,,
115,La Paz,Zacatecoluca,,
116,La Unión,Anamorós,,
117,La Unión,Bolívar,,
118,La Unión,Concepción de Oriente,,
119,La Unión,Conchagua,,
120,La Unión,El Carmen,,
121,La Unión,El Sauce,,
122,La Unión,Intipucá,,
123,La Unión,La Unión,,
124,La Unión,Lislique,,
125,La Unión,Meanguera del Golfo,,
126,La Unión,Nueva Esparta,,
127,La Unión,Pasaquina,,
128,La Unión,Polorós,,
129,La Unión,San Alejo,,
130,La Unión,San José,,
131,La Unión,Santa Rosa de Lima,,
132,La Unión,Yayantique,,
133,La Unión,Yucuaiquín,,
134,Morazán,Arambala,,
135,Morazán,Cacaopera,,
136,Morazán,Chilanga,,
137,Morazán,Corinto,,
138,Morazán,Delicias de Concepción,,
139,Morazán,El Divisadero,,
140,Morazán,El Rosario,,
141,Morazán,Gualococti,,
142,Morazán,Guatajiagua,,
143,Morazán,Joateca,,
144,Morazán,Jocoaitique,,
145,Morazán,Jocoro,,
146,Morazán,Lolotiquillo,,
147,Morazán,Meanguera,,
148,Morazán,Osicala,,
149,Morazán,Perquín,,
150,Morazán,San Carlos,,
151,Morazán,San Fernando,,
152,Morazán,San Francisco Gotera,,
153,Morazán,San Isidro,,
154,Morazán,San Simón,,
155,Morazán,Sensembra,,
156,Morazán,Sociedad,,
157,Morazán,Torola,,
158,Morazán,Yamabal,,
159,Morazán,Yoloaiquín,,
160,San Miguel,Carolina,,
161,San Miguel,Chapeltique,,
162,San Miguel,Chinameca,,
163,San Miguel,Chirilagua,,
164,San Miguel,Ciudad Barrios,,
165,San Miguel,Comacarán,,
166,San Miguel,El Tránsito,,
167,San Miguel,Lolotique,,
168,San Miguel,Moncagua,,
169,San Miguel,Nueva Guadalupe,,
170,San Miguel,Nuevo Edén de San Juan,,
171,San Miguel,Quelepa,,
172,San Miguel,San Antonio,,
173,San Miguel,San Gerardo,,
174,San Miguel,San Jorge,,
175,San Miguel,San Luis de la Reina,,
176,San Miguel,San Miguel,,
177,San Miguel,San Rafael (San Rafael Oriente),,
178,San Miguel,Sesori,,
179,San Miguel,Uluazapa,,
180,San Salvador,Aguilares,,
181,San Salvador,Apopa,,
182,San Salvador,Ayutuxtepeque,,
183,San Salvador,Cuscatancingo,,
184,San Salvador,Delgado,,
185,San Salvador,El Paisnal,,
186,San Salvador,Guazapa,,
187,San Salvador,Ilopango,,
188,San Salvador,Mejicanos,,
189,San Salvador,Nejapa,,
190,San Salvador,Panchimalco,,
191,San Salvador,Rosario de Mora,,
192,San Salvador,San Marcos,,
193,San Salvador,San Martín,,
194,San Salvador,San Salvador,,
195,San Salvador,Santiago Texacuangos,,
196,San Salvador,Santo Tomás,,
197,San Salvador,Soyapango,,
198,San Salvador,Tonacatepeque,,
199,San Vicente,Apastepeque,,
200,San Vicente,Guadalupe,,
201,San Vicente,San Cayetano Istepeque,,
202,San Vicente,San Esteban Catarina,,
203,San Vicente,San Ildefonso,,
204,San Vicente,San Lorenzo,,
205,San Vicente,San Sebastián,,
206,San Vicente,San Vicente,,
207,San Vicente,Santa Clara,,
208,San Vicente,Santo Domingo,,
209,San Vicente,Tecoluca,,
210,San Vicente,Tepetitán,,
211,San Vicente,Verapaz,,
212,Santa Ana,Candelaria de la Frontera,,
213,Santa Ana,Chalchuapa,,
214,Santa Ana,Coatepeque,,
215,Santa Ana,El Congo,,
216,Santa Ana,El Porvenir,,
217,Santa Ana,Masahuat,,
218,Santa Ana,Metapán,,
219,Santa Ana,San Antonio Pajonal,,
220,Santa Ana,San Sebastián Salitrillo,,
221,Santa Ana,Santa Ana,,
222,Santa Ana,Santa Rosa Guachipilín,,
223,Santa Ana,Santiago de la Frontera,,
224,Santa Ana,Texistepeque,,
225,Sonsonate,Acajutla,,
226,Sonsonate,Armenia,,
227,Sonsonate,Caluco,,
228,Sonsonate,Cuisnahuat,,
229,Sonsonate,Izalco,,
230,Sonsonate,Juayúa,,
231,Sonsonate,Nahuizalco,,
232,Sonsonate,Nahulingo,,
233,Sonsonate,Salcoatitán,,
234,Sonsonate,San Antonio del Monte,,
235,Sonsonate,San Julián,,
236,Sonsonate,Santa Catarina Masahuat,,
237,Sonsonate,Santa Isabel Ishuatán,,
238,Sonsonate,Santo Domingo,,
239,Sonsonate,Sonsonate,,
240,Sonsonate,Sonzacate,,
241,Usulután,Alegría,,
242,Usulután,Berlín,,
243,Usulután,California,,
244,Usulután,Concepción Batres,,
245,Usulután,El Triunfo,,
246,Usulután,Ereguayquín,,
247,Usulután,Estanzuelas,,
248,Usulután,Jiquilisco,,
249,Usulután,Jucuapa,,
250,Usulután,Jucuarán,,
251,Usulután,Mercedes Umaña,,
252,Usulután,Nueva Granada,,
253,Usulután,Ozatlán,,
254,Usulután,Puerto El Triunfo,,
255,Usulután,San Agustín,,
256,Usulután,San Buenaventura,,
257,Usulután,San Dionisio,,
258,Usulután,San Francisco Javier,,
259,Usulután,Santa Elena,,
260,Usulután,Santa María,,
261,Usulután,Santiago de María,,
262,Usulután,Tecapán,,
263,Usulután,Usulután,,
,,,,
"For more information, kindly visit :  www.downloadexcelfiles.com ",,,,
